array_size,thread_count,cutoff,time_taken
1048576,4,16384,271
1048576,4,32768,257
1048576,4,65536,43
1048576,4,131072,61
1048576,4,262144,50
1048576,4,524288,61
1048576,4,1048576,98
2097152,4,16384,127
2097152,4,32768,202
2097152,4,65536,84
2097152,4,131072,90
2097152,4,262144,83
2097152,4,524288,90
2097152,4,1048576,113
2097152,4,2097152,199
4194304,4,16384,298
4194304,4,32768,262
4194304,4,65536,183
4194304,4,131072,198
4194304,4,262144,181
4194304,4,524288,149
4194304,4,1048576,143
4194304,4,2097152,223
4194304,4,4194304,367
8388608,4,16384,423
8388608,4,32768,539
8388608,4,65536,377
8388608,4,131072,355
8388608,4,262144,455
8388608,4,524288,408
8388608,4,1048576,353
8388608,4,2097152,301
8388608,4,4194304,449
8388608,4,8388608,711
16777216,4,16384,823
16777216,4,32768,745
16777216,4,65536,828
16777216,4,131072,816
16777216,4,262144,851
16777216,4,524288,782
16777216,4,1048576,766
16777216,4,2097152,628
16777216,4,4194304,591
16777216,4,8388608,791
16777216,4,16777216,1397
