array_size,thread_count,cutoff,time_taken
1048576,1,16384,241
1048576,1,32768,160
1048576,1,65536,115
1048576,1,131072,131
1048576,1,262144,109
1048576,1,524288,110
1048576,1,1048576,103
2097152,1,16384,282
2097152,1,32768,304
2097152,1,65536,250
2097152,1,131072,264
2097152,1,262144,242
2097152,1,524288,228
2097152,1,1048576,216
2097152,1,2097152,170
4194304,1,16384,630
4194304,1,32768,565
4194304,1,65536,556
4194304,1,131072,538
4194304,1,262144,547
4194304,1,524288,535
4194304,1,1048576,487
4194304,1,2097152,408
4194304,1,4194304,341
8388608,1,16384,1243
8388608,1,32768,1201
8388608,1,65536,1201
8388608,1,131072,1227
8388608,1,262144,1133
8388608,1,524288,1126
8388608,1,1048576,1048
8388608,1,2097152,916
8388608,1,4194304,776
8388608,1,8388608,663
16777216,1,16384,2622
16777216,1,32768,2571
16777216,1,65536,2533
16777216,1,131072,2494
16777216,1,262144,2518
16777216,1,524288,2444
16777216,1,1048576,2308
16777216,1,2097152,2055
16777216,1,4194304,1803
16777216,1,8388608,1557
16777216,1,16777216,1333
