array_size,thread_count,cutoff,time_taken
1048576,8,16384,238
1048576,8,32768,146
1048576,8,65536,24
1048576,8,131072,31
1048576,8,262144,35
1048576,8,524288,52
1048576,8,1048576,75
2097152,8,16384,76
2097152,8,32768,80
2097152,8,65536,72
2097152,8,131072,62
2097152,8,262144,64
2097152,8,524288,87
2097152,8,1048576,93
2097152,8,2097152,144
4194304,8,16384,165
4194304,8,32768,149
4194304,8,65536,130
4194304,8,131072,134
4194304,8,262144,134
4194304,8,524288,145
4194304,8,1048576,141
4194304,8,2097152,174
4194304,8,4194304,271
8388608,8,16384,329
8388608,8,32768,282
8388608,8,65536,343
8388608,8,131072,281
8388608,8,262144,278
8388608,8,524288,269
8388608,8,1048576,313
8388608,8,2097152,242
8388608,8,4194304,401
8388608,8,8388608,547
16777216,8,16384,730
16777216,8,32768,645
16777216,8,65536,776
16777216,8,131072,654
16777216,8,262144,775
16777216,8,524288,635
16777216,8,1048576,545
16777216,8,2097152,487
16777216,8,4194304,564
16777216,8,8388608,722
16777216,8,16777216,1125
